Time,NodeId,Delay
13.2908,36,0.293629
13.2908,403,0.28443
13.2914,36,0.433722
13.2915,36,0.377384
13.2915,400,0.383569
13.2915,36,0.715214
13.2917,36,0.323575
13.2918,402,0.489926
13.2918,405,0.810018
13.292,407,0.386676
13.2924,403,0.284538
13.2926,36,0.295405
13.2926,36,0.635775
13.2932,36,0.788145
13.2934,36,0.379292
13.2934,400,0.383522
13.2938,36,0.325704
13.2939,406,0.626903
13.294,403,0.286122
13.2941,36,0.704781
13.2941,407,0.380288
13.2943,36,1.39344
13.2943,402,0.489926
13.2944,36,0.290886
13.2947,405,0.810018
13.2948,36,0.433863
13.2953,36,0.381026
13.2953,400,0.385431
13.2955,36,0.638658
13.2956,403,0.285887
13.2957,401,0.749494
13.2959,36,0.32338
13.2962,36,0.292674
13.2962,407,0.382417
13.2966,36,0.707331
13.2966,36,0.791607
13.2969,402,0.492476
13.2971,403,0.287471
13.2972,36,0.382935
13.2972,400,0.385476
13.2975,406,0.628107
13.2976,405,0.8129
13.2979,36,0.43689
13.2979,401,0.749239
13.298,36,0.325509
13.2983,36,0.288483
13.2984,36,0.64154
13.2985,407,0.380483
13.2987,403,0.287706
13.2991,36,0.384669
13.2991,400,0.387385
13.2992,36,0.704781
13.2994,36,0.791237
13.2994,402,0.492242
13.2998,36,0.289979
13.3002,36,0.321251
13.3003,403,0.28929
13.3003,406,0.63094
13.3005,405,0.8129
13.3007,407,0.378159
13.301,36,0.386577
13.301,400,0.387387
13.3011,36,0.433738
13.3013,36,0.635775
13.3015,36,0.288484
13.3018,36,1.40091
13.3019,36,0.707564
13.302,402,0.494792
13.302,403,0.289435
13.3022,36,0.794069
13.3023,36,0.32338
13.3028,407,0.380288
13.3029,36,0.388311
13.3029,400,0.387387
13.3031,36,0.290079
13.3032,406,0.630955
13.3033,405,0.815783
13.3036,403,0.291019
13.3042,36,0.638658
13.3042,36,0.43689
13.3044,36,0.321251
13.3045,36,0.705014
13.3045,402,0.494792
13.3047,36,0.285396
13.3048,36,0.39022
13.3048,400,0.389295
13.3049,407,0.367319
13.3052,36,0.790534
13.3052,403,0.291019
13.306,406,0.633788
13.3062,405,0.795079
13.3065,36,0.287197
13.3066,36,0.323396
13.3067,36,0.391954
13.3067,400,0.389295
13.3068,403,0.292602
13.307,36,0.632893
13.3071,407,0.369448
13.3071,402,0.497342
13.3073,36,0.707797
13.3074,36,0.433722
13.3079,36,0.793198
13.3083,36,0.282666
13.3084,403,0.292572
13.3086,36,0.393862
13.3087,400,0.391204
13.3087,36,0.316993
13.3088,406,0.633328
13.3089,36,1.40807
13.309,36,0.435349
13.3091,405,0.795079
13.3092,407,0.369448
13.3099,36,0.635775
13.31,403,0.292506
13.3101,402,0.497809
13.3101,36,0.284467
13.3101,408,0.303028
13.3105,36,0.395596
13.3106,400,0.345398
13.3106,36,0.430617
13.3108,36,0.319122
13.3109,401,0.762273
13.3111,36,0.79332
13.3113,407,0.371577
13.3115,403,0.29409
13.3116,406,0.636161
13.3118,408,0.302606
13.3119,36,0.279935
13.3123,405,0.798225
13.3124,36,0.432419
13.3125,36,0.39751
13.3125,400,0.347306
13.3126,402,0.500359
13.3128,36,0.638394
13.313,36,0.312735
13.3131,403,0.294023
13.3133,36,1.27068
13.3134,36,1.41248
13.3134,408,0.304256
13.3134,407,0.35435
13.3137,36,0.281737
13.3142,36,0.796445
13.3143,401,0.733061
13.3144,36,0.399239
13.3144,400,0.342939
13.3147,403,0.295607
13.3147,406,0.633408
13.3151,36,0.314864
13.3152,402,0.500126
13.3153,408,0.304852
13.3154,36,0.429116
13.3156,407,0.356479
13.3157,405,0.792461
13.3157,36,0.641276
13.3159,36,0.277551
13.3163,36,0.401147
13.3163,400,0.344848
13.3163,403,0.295302
13.3164,401,0.735212
13.3169,408,0.306502
13.3172,36,0.310411
13.3173,36,0.279007
13.3175,36,0.702464
13.3176,406,0.636241
13.3177,407,0.356479
13.3177,402,0.502676
13.3179,403,0.296885
13.3182,36,0.402881
13.3182,400,0.344848
13.3185,405,0.795343
13.3186,36,0.640795
13.3189,401,0.729063
13.3191,36,0.274475
